Title, Year
"Too Young to Kiss", 1951
"The Bride Goes Wild", 1948
"Good News", 1947
"Onionhead", 1958
"No Time for Sergeants", 1958
"A Face in the Crowd", 1957
"Hearts of the West", 1975
"Gentlemen Prefer Blondes", 1953
"How to Marry a Millionaire", 1953
"Monkey Business", 1952
"Ladies of the Chorus", 1949
"Armored Car Robbery", 1950
"I Love Trouble", 1947
"Moby Dick", 1930
"Around the World in 80 Days", 1956
"The Adventures of Huckleberry Finn", 1939
"Jungle Book", 1942
"Kidnapped", 1948
"The Time Machine", 1960
"She", 1965
"Great Expectations", 1946
"The Big Sleep", 1946
"Invasion of the Body Snatchers", 1978
"The Thing from Another World", 1951
"Grey Gardens", 1976
"The Trouble with Girls", 1969
"Camelot", 1967
"The Young Girls of Rochefort", 1967
"The Singing Nun", 1966
"Catalina Caper", 1967
"Mrs. Brown, You've Got a Lovely Daughter", 1968
"Live a Little, Love a Little", 1968
"Airport", 1970
"The Hindenburg", 1975
"Zero Hour!", 1957
"The Crowded Sky", 1960
"Skyjacked", 1972
"Night Must Fall", 1937
"The Feminine Touch", 1941
"Roughly Speaking", 1945
"A Majority of One", 1961
"The Women", 1939
"Rendezvous", 1935
"Fast and Loose", 1939
"St. Louis Blues", 1958
"The Blues Brothers", 1980
"Leadbelly", 1976
"Blues in the Night", 1941
"Pete Kelly's Blues", 1955
"A Lady's Morals", 1930
"Look for the Silver Lining", 1949
"Shine on Harvest Moon", 1944
"The Story of Vernon and Irene Castle", 1939
"Words and Music", 1948
"Till the Clouds Roll By", 1946
"Three Little Words", 1950
"The Maltese Falcon", 1941
"Double Indemnity", 1944
"Detour", 1945
"The Long Good Friday", 1980
"Mona Lisa", 1986
"Alice in Movieland", 1940
"Boys' Night Out", 1962
"Shoot-Out at Medicine Bend", 1957
"Robin's Wild Ride", 1949
"Tarzan and the Valley of Gold", 1966
"Robin Hood Daffy", 1958
"Beach Party", 1963
"Ivanhoe", 1952
"The Sea Wolf", 1941
"On an Island with You", 1948
"Out of the Past", 1947
"The Set-Up", 1949
