Title, Year
"Gun Crazy", 1950
"The Asphalt Jungle", 1950
"King Solomon's Mines", 1950
"Annie Get Your Gun", 1950
"Summer Stock", 1950
"Father of the Bride", 1950
"Victor/Victoria", 1982
"The Americanization of Emily", 1964
"Hawaii", 1966
"Village of the Damned", 1960
"Children of the Damned", 1964
"Our Mother's House", 1967
"Wild Boys of the Road", 1933
"Over the Edge", 1979
"The Harvey Girls", 1946
"Tenth Avenue Angel", 1948
"The Three Musketeers", 1948
"The Red Danube", 1949
"National Velvet", 1944
"Thirteen Women", 1932
"Murder, My Sweet", 1944
"My Forbidden Past", 1951
"The Postman Always Rings Twice", 1946
"Bonnie and Clyde", 1967
"Out of the Past", 1947
"Cat on a Hot Tin Roof", 1958
"Rain", 1932
"Another Man's Poison", 1951
"Audrey Rose", 1977
"Poltergeist", 1982
"From Beyond the Grave", 1973
"Shall We Dance", 1937
"The Man Nobody Knows", 1934
"Tarzan the Ape Man", 1932
"Flying Down to Rio", 1933
"Rio Bravo", 1959
"Soylent Green", 1973
"Dr. Jekyll and Mr. Hyde", 1941
"The Band Wagon", 1953
"All That Jazz", 1979
"The Big Street", 1942
"Crooks and Coronets", 1969
"Inside Out", 1976
"The Cosmic Monster", 1958
"The Cyclops", 1957
"The Big Street", 1942
"The Cobweb", 1955
"Bells Are Ringing", 1960
"Tea for Two", 1950
"Send Me No Flowers", 1964
"Rear Window", 1954
"Spellbound", 1945
"The Pagan", 1929
"Oil for the Lamps of China", 1935
"Flowing Gold", 1940
"Giant", 1956
"The Drowning Pool", 1975
"Local Hero", 1983
"Francis", 1950
"The Alamo", 1960
"Gun Glory", 1957
"Racketeers of the Range", 1939
"Spinout", 1966
"The Singing Nun", 1966
"The Cool Ones", 1967
"Stop the World: I Want to Get Off", 1966
"Camelot", 1967
"Tootsie", 1982
"Working Girl", 1988
"Thief", 1981
"Diner", 1982
"Ride the High Country", 1962
"Virginia City", 1940
"Carson City", 1952
"Roberta", 1935
"Shoot-Out at Medicine Bend", 1957
"Laura", 1944
"Daisy Kenyon", 1947
"Anatomy of a Murder", 1959
"Angel Face", 1953
"The Man with the Golden Arm", 1956
"Cast a Dark Shadow", 1955
"A Cry in the Dark", 1988
"Home Before Dark", 1958
"Dark Victory", 1939
"Footsteps in the Dark", 1941
"In the Cool of the Day", 1963
"If Winter Comes", 1948
"Dear Heart", 1964
"The World of Henry Orient", 1964
"Mister Buddwing", 1966
"MGM Parade Show #30", 1955
"The Broadway Melody", 1929
"The Women", 1939
"How Sweet It Is!", 1968
"Easy to Love", 1934
"Any Wednesday", 1966
"The Fearless Vampire Killers", 1967
"Die! Die! My Darling!", 1965
"The Haunting", 1963
"Sugar Hill", 1974
"Night School", 1981
"Night Watch", 1973
"Cat People", 1942
"Lonely Wives", 1932
"The Eye That Never Sleeps", 1934
"Tarzan the Fearless", 1933
"Oklahoma!", 1955
"The Last Voyage", 1960
"Convicts 4", 1962
"The Manchurian Candidate", 1962
"Sweet Smell of Success", 1957
"New York Confidential", 1955
"The Great Santini", 1979
"East of Eden", 1955
"Macabre", 1958
"House on Haunted Hill", 1958
"Hands of a Stranger", 1962
"New York Confidential", 1955
"The Age of Innocence", 1934
"The Great Sinner", 1949
"Lust for Life", 1956
"Notorious", 1946
"The Man Who Knew Too Much", 1956
"Haxan: Witchcraft Through the Ages", 1922
"To Trap a Spy", 1964
"The Spy with My Face", 1966
"One Spy Too Many", 1966
"One of Our Spies Is Missing", 1966
"The Spy in the Green Hat", 1966
"The Karate Killers", 1967
"The Helicopter Spies", 1968
"How to Steal the World", 1968
"This Is Spinal Tap", 1984
"Eddie and the Cruisers", 1983
"A Hard Day's Night", 1964
"ABBA - the Movie", 1977
Without Lying Down - Frances Marion and the Powerful Women in
"The First Auto", 1927
"Love Finds Andy Hardy", 1938
"The Crowd Roars", 1932
"The Happy Road", 1957
"The Yellow Rolls-Royce", 1964
"Speedway", 1968
"Bullitt", 1968
"Pillow Talk", 1959
"Will Success Spoil Rock Hunter?", 1957
"The Mating Game", 1959
"Designing Woman", 1957
"Underground", 1941
"The Cross of Lorraine", 1943
"Desperate Journey", 1942
"Uncertain Glory", 1944
"Joan of Paris", 1942
"Passport to Destiny", 1944
"To the Victor", 1948
"Start the Revolution Without Me", 1970
"Marie Antoinette", 1938
"Voltaire", 1933
"A Tale of Two Cities", 1935
"Gaslight", 1944
"The Picture of Dorian Gray", 1945
"The Manchurian Candidate", 1962
"Kind Lady", 1951
"Sweeney Todd: Demon Barber of Fleet Street", 1982
"The Mystic", 1925
"The Thirteenth Chair", 1929
"Mark of the Vampire", 1935
"The Devil-Doll", 1936
"I Confess", 1953
"Raintree County", 1957
"Leave Her to Heaven", 1945
"Black Widow", 1954
"The Hypnotic Eye", 1960
"Chamber of Horrors", 1966
"It!", 1967
"The Spiritualist", 1948
"The Body Disappears", 1941
"The Human Target", 1934
"Tarzan and His Mate", 1934
"Goodbye, Mr. Chips", 1969
"Night Must Fall", 1964
"The World, the Flesh and the Devil", 1959
"The Last Run", 1971
"Frankenstein", 1931
"The Curse of Frankenstein", 1957
"Black Tuesday", 1954
"Big Wednesday", 1978
"Hooper", 1978
"The Curse of the Cat People", 1944
"Isle of the Dead", 1945
"Black Tuesday", 1954
"Random Harvest", 1942
"Gaslight", 1944
"A Streetcar Named Desire", 1951
"Vertigo", 1958
"The Birds", 1963
"The Lost World", 1925
"The Mummy", 1959
"The Devil's Own", 1966
"Horror of Dracula", 1958
"Dracula Has Risen From the Grave", 1969
"Dracula A.D. 1972", 1972
"The Devil's Bride", 1968
"Frankenstein Must Be Destroyed", 1970
"The Nanny", 1965
"The Last Waltz", 1978
"Disraeli", 1929
"Juarez", 1939
"Mission to Moscow", 1943
"Bridge to the Sun", 1961
"The Body Snatcher", 1945
"You'll Find Out", 1940
"Playmates", 1941
"Night of the Lepus", 1972
"The Black Scorpion", 1957
"The Giant Behemoth", 1959
"The Beast from 20,000 Fathoms", 1953
"Invaders from Mars", 1953
"Where the Boys Are", 1960
"Follow the Boys", 1963
"Looking for Love", 1964
"When the Boys Meet the Girls", 1965
"Jamboree!", 1957
"Pillow to Post", 1945
"The Horizontal Lieutenant", 1962
"See Here, Private Hargrove", 1944
"What Next, Corporal Hargrove?", 1945
"Don't Go Near the Water", 1957
"Imitation General", 1958
"Call Out the Marines", 1942
"The Reluctant Debutante", 1958
"All Fall Down", 1962
"The Hoodlum Saint", 1946
"Till the Clouds Roll By", 1946
"Morning Glory", 1933
"A Star Is Born", 1954
"Gypsy", 1962
"The Sunshine Boys", 1975
"Suspicion", 1941
"The Tingler", 1959
"The Hand", 1981
"Mad Love", 1935
"The Unknown", 1927
"The Singing Kid", 1936
"Phantom Outlaws", 1934
"Tarzan Escapes", 1936
"The Picture of Dorian Gray", 1945
Dr. Strangelove or: How I Learned to Stop Worrying and Love
"Carnival of Souls", 1962
"Rosemary's Baby", 1968
"Southside 1-1000", 1950
"Murder She Said", 1961
"Murder Most Foul", 1964
"Murder Ahoy", 1964
"Village of the Damned", 1960
"Children of the Damned", 1964
"Southside 1-1000", 1950
"The Unfaithful", 1947
"The Gazebo", 1960
"The Bad Seed", 1956
"Dead Ringer", 1964
"Psycho", 1960
"Shadow of a Doubt", 1943
"The Monster", 1925
"Haunted Spooks", 1920
"Hollywood Without Make-Up", 1966
"The Little Hut", 1957
"The Little Minister", 1934
"The Little Shop of Horrors", 1960
"Little Women", 1933
"A Little Romance", 1979
"Going My Way", 1944
"A Hole in the Head", 1959
"Robin and the 7 Hoods", 1964
"Ocean's Eleven", 1960
"The Hunchback of Notre Dame", 1923
"Lon Chaney: A Thousand Faces", 2000
"The Phantom of the Opera", 1925
"Dr. Jekyll and Mr. Hyde", 1941
"Isle of the Dead", 1945
"Bedlam", 1946
"Mark of the Vampire", 1935
"House of Dark Shadows", 1970
"Employees' Entrance", 1933
"Jewel Robbery", 1932
"Night Nurse", 1931
"The Divorcee", 1930
"Heat Lightning", 1934
"Three on a Match", 1932
"Heroes for Sale", 1933
"Seven Sweethearts", 1942
"Tennessee Johnson", 1942
"Presenting Lily Mars", 1943
"B.F.'s Daughter", 1948
"Madame Bovary", 1949
"The Prowler", 1951
"Patterns", 1956
"MGM Parade Show #30", 1955
"Shampoo", 1975
"Voyage of the Damned", 1976
"The Swarm", 1978
"Two on a Guillotine", 1965
"What Ever Happened to Baby Jane?", 1962
"Freaks", 1932
"Horror of Dracula", 1958
"The Curse of Frankenstein", 1957
"The Leopard Man", 1943
"I Walked with a Zombie", 1943
"Cat People", 1942
"Curse of the Demon", 1958
"Burn, Witch, Burn", 1962
"The Seventh Victim", 1943
"The Woman in White", 1948
"The Hunger", 1983
"Mystery of the Wax Museum", 1933
"Dr. Jekyll and Mr. Hyde", 1932
"House of Wax", 1953
"The Invisible Man", 1933
"Dracula", 1931
"The Mummy", 1959
"Frankenstein", 1931
"Bride of Frankenstein", 1935
"In Cold Blood", 1967
"Eye of the Devil", 1966
