Title, Year
"Doctor, You've Got to Be Kidding!", 1967
"Room for One More", 1952
"The Asphalt Jungle", 1950
"In a Lonely Place", 1950
"The Breaking Point", 1950
"Sea of Love", 1989
"Klute", 1971
"Gaby", 1956
"The Cross of Lorraine", 1943
"Robin Meets the Wizard", 1949
"The Secret of Dr. Kildare", 1939
"A Witch's Tangled Hare", 1959
"Show Biz Bugs", 1957
"Bugs and Thugs", 1954
"The Unfinished Dance", 1947
"Paths of Glory", 1958
"The Lusty Men", 1952
"The Wrong Man", 1956
"American Pop", 1981
"Fame", 1980
"Dark Passage", 1947
"Ode to Billy Joe", 1976
"Baby Doll", 1956
"Angel on My Shoulder", 1946
"The Devil and Daniel Webster", 1941
"Dark Passage", 1947
"The More the Merrier", 1943
"A Patch of Blue", 1965
"Silk Stockings", 1957
"The Lady from Shanghai", 1948
"Little Miss Marker", 1980
"Little Miss Marker", 1934
"Miss Lulu Bett", 1921
"The Tree of Wooden Clogs", 1978
"Racing Lady", 1937
"Anna Karenina", 1935
"They Met in Bombay", 1941
"The Human Comedy", 1943
"National Velvet", 1944
"The Yearling", 1946
"Angels in the Outfield", 1951
"When in Rome", 1952
"Nine to Five", 1980
"Ruthless People", 1986
"The Wiz", 1978
"Truck Turner", 1974
"One-Trick Pony", 1980
"Ensign Pulver", 1964
"Ten Little Indians", 1966
"Lucky Night", 1939
"Lucky Partners", 1940
"Lucky Losers", 1950
"Lucky Me", 1954
"The Luckiest Guy in the World", 1947
"The Case of the Lucky Legs", 1935
"Lady Luck", 1947
"A Woman Under the Influence", 1974
"Stranger Than Paradise", 1984
"Killer of Sheep", 1978
"Daughters of the Dust", 1991
"Eraserhead", 1977
"Return to Glennascaul", 1953
"Moon Zero Two", 1969
"Things to Come", 1936
"From the Earth to the Moon", 1958
"Countdown", 1967
"A Trip to the Moon", 1902
"For All Mankind", 1989
"2010", 1984
"Forbidden Planet", 1956
"The Thomas Crown Affair", 1968
"In the Heat of the Night", 1967
"A Soldier's Story", 1984
"Fiddler on the Roof", 1971
"MGM Parade Show #8", 1955
"Dr. Jekyll and Mr. Hyde", 1941
"The Picture of Dorian Gray", 1945
"Kongo", 1932
"Phantom of the Rue Morgue", 1954
"Freaks", 1932
"The Leopard Man", 1943
"The Seventh Victim", 1943
"The Mad Genius", 1931
"Mad Love", 1935
"The Curse of Frankenstein", 1957
"The Mummy", 1959
"Curse of the Demon", 1958
"Cat People", 1942
"The Curse of the Cat People", 1944
"Isle of the Dead", 1945
"Bedlam", 1946
"Jeopardy", 1953
"The Long, Long Trailer", 1954
"The Bride Came C.O.D.", 1941
"It Started with a Kiss", 1959
"North by Northwest", 1959
"Detour", 1945
"Badlands", 1973
"Powwow Highway", 1988
"Sunset Boulevard", 1950
"The Prowler", 1951
"The Killing", 1956
"Tequila Sunrise", 1988
"The Postman Always Rings Twice", 1981
"The Adventures of Robin Hood", 1938
"Crossroads", 1942
"The Wizard Strikes Back", 1949
"Dr. Kildare's Strange Case", 1940
"Baseball Bugs", 1946
"Bewitched Bunny", 1954
"The CooCoo Nut Grove", 1936
"Summer Stock", 1950
"Of Rice and Hen", 1953
"Banty Raids", 1963
"The Mating Game", 1959
"The Defiant Ones", 1958
"The Night of the Iguana", 1964
"The Rose Tattoo", 1955
"La Vie En Rose", 2007
"They Won't Believe Me", 1947
"Logan's Run", 1975
"World Without End", 1956
"I See a Dark Stranger", 1946
"The Big Sleep", 1946
"They Won't Believe Me", 1947
"The Way We Were", 1973
"Raintree County", 1957
"High Diving Hare", 1949
"Hare Trimmed", 1953
"The Spirit of St. Louis", 1957
"The Kid", 1921
"Baby Boom", 1987
"Bachelor Mother", 1939
"Stella Maris", 1918
"A Brighter Summer Day", 1991
"Calling All Husbands", 1940
"Always a Bride", 1940
"Father Is a Prince", 1940
"Ladies Must Live", 1940
"Bullet Scars", 1942
"Spy Ship", 1942
"The Case of the Black Parrot", 1941
"Gambling on the High Seas", 1940
"Murder on the Waterfront", 1943
"Find the Blackmailer", 1943
"Two O'Clock Courage", 1945
"I Was Framed", 1942
"Moonstruck", 1987
"Six Degrees of Separation", 1993
"Merry Christmas, Mr. Lawrence", 1983
"Smithereens", 1982
"Down by Law", 1986
"The Player", 1992
"Who's That Girl?", 1987
"On with the Show", 1929
"Sally", 1929
"Going Wild", 1931
"Sit Tight", 1931
"You Said a Mouthful", 1932
"Elmer the Great", 1933
"Alibi Ike", 1935
"Matewan", 1987
"Slacker", 1990
"Bottle Rocket", 1996
"Drugstore Cowboy", 1989
"Border Radio", 1987
"Reefer Madness", 1936
"Tarzan and His Mate", 1934
"King Kong", 1933
"I Walked with a Zombie", 1943
"Freaks", 1932
"42nd Street", 1933
"The Maltese Falcon", 1941
"House of Wax", 1953
"The Little Shop of Horrors", 1960
"Pride and Prejudice", 1940
"Somewhere in Time", 1980
"Doctor Zhivago", 1965
"Camille", 1937
"MGM Parade Show #8", 1955
"Bullets or Ballots", 1936
"Dr. Ehrlich's Magic Bullet", 1940
"Larceny, Inc.", 1942
"The Stranger", 1946
"Confessions of a Nazi Spy", 1939
"The Prize", 1963
"The Cincinnati Kid", 1965
"Easy to Love", 1953
"Flipper", 1963
"Wind Across the Everglades", 1958
"Beneath the 12-Mile Reef", 1953
"Death Curse of Tartu", 1966
"Hollywood Without Make-Up", 1966
"Safe in Hell", 1931
"The Big Shakedown", 1934
"The Big House", 1930
"The Public Enemy", 1931
"Smart Money", 1931
"Two Seconds", 1932
"Three on a Match", 1932
"The Beast of the City", 1932
"Penthouse", 1933
"The Mouthpiece", 1932
"Sweet Smell of Success", 1957
"Touch of Evil", 1958
"Odds Against Tomorrow", 1959
"Point Blank", 1967
"Mike's Murder", 1984
"MGM Parade Show #8", 1955
