Title, Year
"The Trap", 1966
"So Long at the Fair", 1950
"A Bucket of Blood", 1959
"Sex Kittens Go to College", 1960
"Go, Johnny, Go!", 1959
"The Young Stranger", 1957
"Them!", 1954
"The Hypnotic Eye", 1960
"Spider Baby", 1964
"The Green Slime", 1969
"Godzilla vs. Hedorah", 1971
"High Noon", 1952
"The Hanging Tree", 1959
"Friendly Persuasion", 1956
"Task Force", 1949
"Dallas", 1950
"Springfield Rifle", 1952
"Bright Leaf", 1950
"Sparkle", 1976
"Say Amen, Somebody - The Good News Musical", 1982
"How They Got Over", 2018
"Soul Power", 2008
"Round Midnight", 1986
"Before Midnight", 1986
"The Wiz", 1978
"Krush Groove", 1985
"Super Fly", 1972
"Shaft", 1971
"Black Eye", 1974
"Don't Bet on Blondes", 1935
"Dodge City", 1939
"Cry Wolf", 1947
"Santa Fe Trail", 1940
"Adventures of Don Juan", 1948
"The Private Lives of Elizabeth and Essex", 1939
"The Master of Ballantrae", 1953
"The Adventures of Robin Hood", 1938
"The Sting", 1973
"How to Steal a Million", 1966
"The Thomas Crown Affair", 1968
"Nine Queens", 2000
"F for Fake", 1973
"The Red House", 1947
"Wild Honey", 1942
"Opening Day", 1938
"Canadian Lancers", 1956
"Come on Danger", 1942
"Wheels of Disaster", 1938
"Puttin on the Act", 1933
"The Dragon Murder Case", 1934
"Okay for Sound", 1946
"The Stork Club", 1945
"The Bridge on the River Kwai", 1957
"Screaming Eagles", 1956
"Point Blank", 1967
"Scarecrow", 1973
"Dog Day Afternoon", 1975
"Pale Flower", 1964
"Hang 'Em High", 1968
"The Hanging Tree", 1959
"Seven Brides for Seven Brothers", 1954
"Seven Sweethearts", 1942
"Holland in Tulip Time", 1934
"Pale Flower", 1964
"Design for Living", 1933
"The Young Philadelphians", 1959
"Marriage on the Rocks", 1965
"The Lady from Shanghai", 1948
"Coal Miner's Daughter", 1980
"Missing", 1982
"Man with a Movie Camera", 1929
"Pickpocket", 1959
"Crime and Punishment, USA", 1959
"MGM Parade Show #27", 1955
"Rancho Notorious", 1952
"The Strange Love of Martha Ivers", 1946
"Going Wild", 1931
"Faithless", 1932
"The Matrimonial Bed", 1930
"Merrily We Live", 1938
"Camille", 1937
"The Keyhole", 1933
"Christopher Strong", 1933
"Call Her Savage", 1932
"The Gay Divorcee", 1934
"Midnight", 1939
"Professional Sweetheart", 1933
"The Broadway Melody", 1929
"Our Betters", 1933
"Ex-Lady", 1933
"The Girl from Missouri", 1934
"Employees' Entrance", 1933
"One Way Passage", 1932
"The Kennel Murder Case", 1933
"Fog Over Frisco", 1934
"Alibi Ike", 1935
"The Affairs of Dobie Gillis", 1953
"Journey Into Fear", 1942
"Armored Car Robbery", 1950
"Detour", 1945
"The Age of Innocence", 1993
"The House of Mirth", 2000
"The Magnificent Ambersons", 1942
"The Valley of Decision", 1945
"Life with Father", 1947
"The Green Helmet", 1961
"The Crowd Roars", 1932
"Burn 'Em Up O'Connor", 1939
"Speed", 1936
"Viva Las Vegas", 1964
"The Racing Scene", 1969
"Grand Prix", 1966
Eva Marie Saint: Live from the TCM Classic Film Festival
"Bluebeard's Eighth Wife", 1938
"Ball of Fire", 1942
"Meet John Doe", 1941
"Saratoga Trunk", 1945
"Today We Live", 1933
"The Wreck of the Mary Deare", 1959
"It's a Big Country: An American Anthology", 1952
"One Foot in Heaven", 1941
"Two Girls and a Sailor", 1944
"Three Daring Daughters", 1948
"The Four Feathers", 1939
"The Five Man Army", 1970
"Dead Ringer", 1964
"The Black Room", 1935
"Sisters", 1972
"A Stolen Life", 1946
"Dead Men Walk", 1943
"Nichols and May: Take Two", 1996
"Other Men's Women", 1931
"God's Gift to Women", 1931
"Loose Ankles", 1930
"What Price Hollywood?", 1932
"Beauty for Sale", 1933
"Blonde Crazy", 1931
"Lilly Turner", 1933
"The Rich Are Always with Us", 1932
"Rain", 1932
"Jewel Robbery", 1932
"The Lady Eve", 1941
"The Producers", 1967
"I Love You Again", 1940
"Mr. Lucky", 1943
"Nobody Lives Forever", 1946
"Black Orpheus", 1959
"Bear Raid Warden", 1944
"The Grand Dame", 1931
"Captain Kidd's Treasure", 1938
"Dude Cowboy", 1941
"Fatal Treasure", 1938
"Popeye Meets William Tell", 1940
"The Casino Murder Case", 1935
"Paree, Paree", 1934
"The Ritz", 1976
"The Killers", 1946
"Home from the Hill", 1960
"Field of Dreams", 1989
"Double Indemnity", 1944
"Chinatown", 1974
"Sorry, Wrong Number", 1948
"June Bride", 1948
"The Bride Came C.O.D.", 1941
"Reefer Madness", 1936
"Mad Youth", 1939
"Plan 9 from Outer Space", 1959
"Sorry, Wrong Number", 1948
"The Shop Around the Corner", 1940
"Now, Voyager", 1942
"On the Waterfront", 1954
"The Night of the Iguana", 1964
"Green Fire", 1955
"King Solomon's Mines", 1950
"Berlin: Symphony of a Great City", 1927
"À propos de Nice", 1930
"The Coward", 1965
"Charulata", 1965
"Tea and Sympathy", 1956
"The Fox", 1967
"Cabaret", 1972
"Strangers on a Train", 1951
"Some Like It Hot", 1959
"Red River", 1948
"The Queen", 1968
"Milk", 2008
"Go Fish", 1994
"Without You I'm Nothing", 1990
"Paris Is Burning", 1990
"Fox and His Friends", 1975
"MGM Parade Show #27", 1955
