Title, Year
"For Scent-imental Reasons", 1949
"Midnight in Paris", 2011
"Gigi", 1958
"Charade", 1963
"An American in Paris", 1951
"Moulin Rouge!", 2001
"Amélie", 2001
"Irma la Douce", 1963
"Camille", 1937
"Little Caesar", 1930
"The Letter", 1940
"Key Largo", 1948
"Double Indemnity", 1944
"Strangers on a Train", 1951
"Rear Window", 1954
"Bonnie and Clyde", 1967
"White Heat", 1949
"In Cold Blood", 1967
"Dog Day Afternoon", 1975
"Shaft", 1971
"The Window", 1949
"Our Dancing Daughters", 1928
"Edward, My Son", 1949
"The Magnificent Ambersons", 1942
"The Brothers Karamazov", 1958
"I Remember Mama", 1948
"I Never Sang for My Father", 1970
"High Note", 1960
"Auntie Mame", 1958
"The Children's Hour", 1961
"The Corn Is Green", 1945
"Blackboard Jungle", 1955
"Canary Row", 1950
"Goodbye, Mr. Chips", 1969
"Good News", 1947
"The Desert Song", 1943
"The Wind and the Lion", 1975
"Morocco", 1930
"Road to Morocco", 1942
"Sahara", 1943
"Khartoum", 1966
"From A to Z-Z-Z-Z", 1954
"Them!", 1954
"On the Beach", 1959
"The China Syndrome", 1979
Dr. Strangelove or: How I Learned to Stop Worrying and Love
"Seven Days to Noon", 1950
"The Great Ziegfeld", 1936
"Morning Glory", 1933
"Stage Door", 1937
"Gold Diggers of 1933", 1933
"To Be or Not to Be", 1942
"Kiss Me Kate", 1953
"The Entertainer", 1960
"The Boy Friend", 1971
"Nelly's Folly", 1961
"My Fair Lady", 1964
"The Remains of the Day", 1993
"Anne of the Thousand Days", 1969
"Knighty Knight Bugs", 1958
"Young Bess", 1953
"Pride and Prejudice", 1940
"David Copperfield", 1935
"The Secret Land", 1948
"Festival", 1967
"Freedom on My Mind", 1994
"The Times of Harvey Milk", 1984
"Inside Job", 2010
"Papillon", 1973
"The Longest Yard", 1974
"Midnight Express", 1978
"The Big House", 1930
"Speedy Gonzales", 1955
"Weary River", 1929
"Dr. Jekyll and Mr. Hyde", 1932
"Dr. Cyclops", 1940
"The Time Machine", 1960
"Dr. Ehrlich's Magic Bullet", 1940
"The Story of Louis Pasteur", 1936
"Madame Curie", 1943
"Edison, the Man", 1940
"Driving Miss Daisy", 1989
"Rain Man", 1988
"Bullitt", 1968
"Grand Prix", 1966
"Wild Strawberries", 1957
"Ben-Hur", 1959
"Lawrence of Arabia", 1962
"Cleopatra", 1963
"Gone with the Wind", 1939
"Doctor Zhivago", 1965
"Quo Vadis", 1951
"Captains of the Clouds", 1942
"Battleground", 1949
"Sergeant York", 1941
"The Story of G.I. Joe", 1945
"Sands of Iwo Jima", 1949
"The Bridge on the River Kwai", 1957
"Patton", 1970
"The Deer Hunter", 1978
"Das Boot", 1981
"They Were Expendable", 1945
"White Shadows in the South Seas", 1928
"All the Brothers Were Valiant", 1953
"Gulliver's Travels", 1939
"Robinson Crusoe", 1954
"Pigs in a Polka", 1943
"Hawaii", 1966
"South Pacific", 1958
"Lassie Come Home", 1943
"Come Back, Little Sheba", 1952
"The Awful Truth", 1937
"Umberto D.", 1952
"Sounder", 1972
"Disraeli", 1929
"Viva Villa!", 1934
"Rasputin and the Empress", 1932
"The Private Life of Henry VIII", 1933
"Marie Antoinette", 1938
"Julius Caesar", 1953
"Greetings Bait", 1943
"Sunrise at Campobello", 1960
"Gaslight", 1944
"Imitation of Life", 1959
"The Magnificent Seven", 1960
"A Star Is Born", 1976
"Show Boat", 1951
"The Merry Widow", 1952
"Cimarron", 1960
"The Sea Hawk", 1940
"Little Women", 1949
"Dr. Jekyll and Mr. Hyde", 1941
"Waterloo Bridge", 1940
"Going My Way", 1944
"Elmer Gantry", 1960
"A Man for All Seasons", 1966
"The Shoes of the Fisherman", 1968
"Hallelujah", 1929
"One Foot in Heaven", 1941
"Black Fury", 1935
"The Organizer", 1963
"The Valley of Decision", 1945
"Harlan County, U.S.A.", 1976
"On the Waterfront", 1954
"Roman Holiday", 1953
"A Room with a View", 1985
"The Talented Mr. Ripley", 1999
"Death in Venice", 1971
"Indiscretion of an American Wife", 1954
"Captains Courageous", 1937
"One Way Passage", 1932
"Romance on the High Seas", 1948
"Now, Voyager", 1942
"The Last Voyage", 1960
"Billy Budd", 1962
"Mutiny on the Bounty", 1935
"12 Angry Men", 1957
"Witness for the Prosecution", 1957
"Judgment at Nuremberg", 1961
"Adam's Rib", 1949
"Cimarron", 1931
"How the West Was Won", 1962
"Calamity Jane", 1953
"Stagecoach", 1939
"Red River", 1948
"The Naked Spur", 1953
"Broken Arrow", 1950
"Shane", 1953
"Hondo", 1953
"McCabe & Mrs. Miller", 1971
"The Wild Bunch", 1969
"Billy the Kid", 1941
