Title, Year
"Coquette", 1929
"Marie Antoinette", 1938
"Arsenic and Old Lace", 1944
"The Postman Always Rings Twice", 1946
"Forbidden Planet", 1956
"King Kong", 1933
"Strange Brew", 1983
"Strangers on a Train", 1951
"Side Street", 1950
"The Naked Street", 1955
"They Live by Night", 1948
"Small Town Girl", 1953
"Behave Yourself!", 1951
"Mr. Chump", 1938
"Prosperity", 1932
"Don't Tell the Wife", 1937
"Go Chase Yourself", 1938
"Hurry, Charlie, Hurry", 1941
"Larceny, Inc.", 1942
"Double Dynamite", 1951
"The Great Bank Hoax", 1977
"Penelope", 1966
"Lady for a Day", 1933
"Day-Time Wife", 1939
"Beauty and the Boss", 1932
"Employees' Entrance", 1933
"Madame X", 1937
"The First Hundred Years", 1938
"Bedside", 1934
"Hot Tip", 1935
"Them!", 1954
"Bad Day at Black Rock", 1955
"Clash by Night", 1952
"Hot Summer Night", 1957
"Cry of the Hunted", 1953
"Cool Hand Luke", 1967
"A Streetcar Named Desire", 1951
"The Great Gatsby", 1974
"The Last Tycoon", 1976
"The Last Time I Saw Paris", 1954
"The Four Horsemen of the Apocalypse", 1962
"Bathing Beauty", 1944
"Girl Crazy", 1943
"Calamity Jane", 1953
"The Harvey Girls", 1946
"Seven Brides for Seven Brothers", 1954
"Take Me Out to the Ball Game", 1949
"Bye Bye Birdie", 1963
"Yankee Doodle Dandy", 1942
"1776", 1972
"Drums Along the Mohawk", 1939
"The Scarlet Coat", 1955
"MGM Parade Show #28", 1955
"Fury", 1936
"Barney Bear's Polar Pest", 1944
"So You Want to Hold Your Wife", 1947
"Believe It or Not #1", 1931
"Code of the Secret Service", 1939
"The Missing Spur", 1938
"My Pop, My Pop", 1940
"The Garden Murder Case", 1936
Servant of the People: The Story of the Constitution of the
"Gentlemen Prefer Blondes", 1953
"A Fistful of Dollars", 1964
"The Omega Man", 1971
"The Getaway", 1972
"The Night of the Hunter", 1955
"The Fool Killer", 1965
"This Side of the Law", 1950
"Twice in a Lifetime", 1985
"One is a Lonely Number", 1972
"Wonderful World of Tupperware", 1965
"Live a Little, Love a Little", 1968
"Speedway", 1968
"This Side of the Law", 1950
"My Man Godfrey", 1936
"Summer Stock", 1950
"Sex and the Single Girl", 1964
"Who's Afraid of Virginia Woolf?", 1966
"Monty Python and the Holy Grail", 1975
"Monty Python's Life of Brian", 1979
"People on Sunday", 1930
"Onibaba", 1964
"Kuroneko", 1968
"MGM Parade Show #28", 1955
"Julia Misbehaves", 1948
"The Ex-Mrs. Bradford", 1936
"We Were Dancing", 1942
"Never Say Goodbye", 1946
"The Women", 1939
"Affectionately Yours", 1941
"His Girl Friday", 1940
"Lawrence of Arabia", 1962
"The Seven Samurai", 1956
"Yojimbo", 1961
"Idiot's Delight", 1939
"The White Cliffs of Dover", 1944
"Ah, Wilderness!", 1935
"Come Live with Me", 1941
"Intruder in the Dust", 1949
"Of Human Hearts", 1938
"Anna Karenina", 1935
"Garbo", 2005
"Romancing the Stone", 1984
"Nine to Five", 1980
"Working Girl", 1988
"Protocol", 1984
"Stealing Home", 1988
"Delinquent Daughters", 1944
"Bad Boy", 1949
"Hot Rod", 1950
